Kabyle	Kabyl,Kabylia,Kabylisch,Tamazight,Bahasa Kabil [id],Berberice [tr],Idioma cabilio [es],Język kabylski [pl],Kabil nyelv [hu],Kabila lingvo [eo],Kabilies [af],Kabilski jezik [hr],Kabylische Sprache [de],Kabylsk [da],Kabylsk språk [nn],Língua cabila [pt],Taqbaylit [kab],At Yanni,Ayt-Mhend,Berber of the Beni Boojeiah in the Thegedoween village,Harakta de 3Aïn Beïda dans l'est du département de Constantine,Jju,Kabyle de la Grande Kabylie,Kabyle de la Petite Kabylie,Kabylie,Kaje or Kajji,Probably Kabyle since S Hanouz was from Kabylie,Sidi Ali Bounab,Souk El Tenine,Taqbaylit,Zouaoua
Western Kabyle	Greater Kabyle
Eastern Kabyle	Lesser Kabyle
Nafusi	Berber,Djerbi,Jabal Nafusi,Jabal Nafūsa,Jabal nafusah,Jbel Nafusi,Jebel Nefusi,Nefousi,Nefusi,Shilha,Taujjut,Tunisian Berber,Lenga Nafusi [pms],Lingua nefusi [it],Nafouseg [br],Nafusi [de],Nafusi jezik [hr],Tamazight [de],Djebel Nefousa,Dyebayli
Jbali-Tamezret	Duwinna
Jerba	Djerbi,Guelili
Jerbi	
Tamezret	Duwinna
Tuareg	
Southern Tuareg	
Tamasheq	Amäšey,Kidal,Kidal Tamasheq,Tamaceq,Tamacheq tahoua,Tamashekin,Tamasheq, Kidal,Tamäšeq,Timbuktu,Tomacheck,Tuareg,Mali Tamasheq,Taneslemt (Touareg des Idjellad region de Tombouctou) d'apres notes de Andre Basset
Tadghaq	
Tadhaq	
Timbuktu	Tanaslamt,Tombouctou
Tawallammat Tamajaq	Abinawa,Amazigh,Buzu,Tahoua,Tahoua Tamajeq,Tajag,Tamachek,Tamajaq,Tamajaq, Tawallammat,Tamajeq,Tamashekin,Tamasheq,Tamazheq,Tawallammat,Tewellemet,Tomacheck,Touareg,Tourage,Tuareg,Adrar du Mali,Awellimiden,Illabakan,Tamajaq-Tawallammat,Tamasheq of Burkina mostly Tawallammat Tamajaq,Touareg Aouelimmiden,Touareg Ouelliminden,Touareg des Iwellemmeden W,Touaregs Nigeriens
Ioullemmeden	
Tawallammat Tan Ataram	
Tawallammat Tan Dannag	
Tayart Tamajeq	Amazigh,Tamachek,Tamacheq tahoua,Tamajeq,Tamajeq, Tayart,Tamazheq,Tomacheck,Touareg,Tuareg,Tamajekeg [br],Air,Ayer,Ayr,Kandin,The Aïr Dialect of Tamazhaq,Touareg de l'Ayr Y,Twareg de l'Air
Air (Berber)	
Tanassfarwat	Tamagarast
Tahaggart Tamahaq	Tuareg (Ahaggar),Tuareg (Air),Tuareg (Ghat),Berber (Ghat),Ghat,Tamachek',Tamasheq (Tahaggart),Tuareg,Tuareg (Tahaggart Tamahaq),Tuareg (Tahaggart),Tamasheq,Ghadames,Tamahaq,Djanet,Ganet,Tamachek,Tamahaq (Algérie),Tamahaq (Jamahiriya arabe libyenne),Tamahaq (Libia),Tamahaq (Tahaggart),Tamahaq, Tahaggart,Tamashekin,Tomachek,Touareg,Tourage,Toureg,Tahaggart tamahaq [hr],Tamahakeg [br],Tamahaq language [en],Ahaggar,Ajjer,Azdjer,Hoggar,Northern Towarek of the Kadi of Ghat,Tamahaq-Tahaggart,Tahaggart
Ghat	
Hoggar	
Unclassified Berber	
Guanche	Spain,Guanche [de],Guantxera [eu],Guanxe [ca],Guanči [hr],Gwantcheg [br],Idioma guanche [an],Język Guanczów [pl],Kel-Oui plus numerals 1-10 in Guanche from 1341
Western Berber	
Tetserret	This is a variety of Tetserrét despite what the actual paper seems to conclude (see Walentowicz 2000-2001)
Zenaga	Berber (Mauritania),Berber (Mauritanian),Group Four,Western,Zenaga (Mauritanie),Zenaga (Sahara occidental),Zenaga (Sáhara Occidental),Lingua zenaga [it],Zenaga [an],Zenaga jezik [hr],Zenagaeg [br],Berbere Mauretanie
Chadic	
Biu-Mandara	
Hurza	
Mbuko	Mboko,Mbokou,Mboku,Mbuku
Vame	Hurza,Hurza-Vame,Maslava,Ndreme,Pelasla,Ndreme-Mbərem-Dəmwa-Pəlasla-Hurza,Plata
Dume (Vame)	
Pelasla	Gwendele
Hurzo	
Mberem	Maslava,Mbreme,Ndreme
Ndreme	
North Biu-Mandara	
Musguic	
Musgu-Mbara	
Mbara (Chad)	Mbara,G'kelendeg,G'kelendeng,Guelengdeng,Massa de Guelengdeng,Mbara [en]
Musgu	Mulwi,Mouloui,Mousgou,Mousgoum,Mousgoun,Munjuk,Musga,Musgum,Musuk,Muzuk,Masa of Decorse,Munjuk de Pouss,Munjuk-Nord,Musgow (Luggoy),Musgoy,Musgum-Girvidig,Musgum-Ngilemong,Muzgu,Muzgum-Stadt,Ngelmung,Ngilemong,Pus/Girvidik,Vulum de Mogroum
Munjuk-Nord	
Beege	Jafga
Mpus	Mousgoum de Pouss,Musgum-Pouss,Pouss,Pus
Muzuk	Guirvidig,Mousgoum de Guirvidig,Mousgoum de Guirvidik
Vulum	Mulwi,Mulwi-Mogroum,Vlum
Munjuk-Sud	
Muskum	Muzgum,Muzgum-Stadt
Gidar	Baynawa,Gidder,Guidar,Guider,Kada
Lam	
Higic	
Hya	Ghye,Za,Hya jezik [hr],Hyaeg [br],Higi Ghye
Nkafa-Kirya-Bana	
Bana	Baza,Ka-Bana,Koma,Mbana,Mizeran,Parole des Bana,Bana jezik [hr],Banaeg [br],Banana,Fali Gili,Higi Baza
Gamboura	
Gili	Guili
Nkafa-Kirya	
Kamwe	Higgi,Higi,Hiji,Vacamwe,Kamwe jezik [hr],Kamweg [br],Bazza Higi,Hidji,Higi Futu,Higi Nkafa,Higi Wula,Higi-Nkafa,Higi-Sinna,Humsi Higi,Makulu Higi,Moda Higi,Nkafa
Kirya-Konzel	Fali Kiria,Fali of Kiriya,Fali-Kirya
Psikye	Kamsiki,Kapsiki,Ptsake,Psikye jezik [hr],Psikyeg [br],Higi Kamale
Nuclear Psikye	
Wula	
Zlenge	
Kotoko-Buduma	
Buduma	Yidena,Boudouma,Buduma-Kuri,Yadena,Yedana,Yedima,Yedina,Yidana,Budduma,Búddŭma (Yédĭna),Kouri,Kūry (Kārka)
Kuri (Buduma)	
Northern Buduma	
Nuclear Buduma	
Southern Buduma	
Kotoko Meridional	
Jina	Zina,Zine,Dah subsumes Zina
Mo'e	
Muhulu	
Zina	
Majera	Da'a,Daa,Mayera,Mazera,Mida'a,Midah,Dah subsumes Majera
Hwalem	Holom
Kajire-'dulo	
Nuclear Majera	
Kotoko Central	
Lagwan	Kotoko-Logone,Logone,Lagouane,Lagwane,Kotoko de Logone,Lagwan Kotoko,Logone-Birni Kotoko
Affade	Afada,Afadeh,Mandage,Mogari,Ngala
Logone-Gana	Kotoko-Gana
Logone-Birni	
Mser	Klesem,Kotoko-Kuseri,Kouseri,Kousseri,Kuseri,Mandage,Mandague,Mendage,Klēsem,Kotoko Semsir ou de Kousri (Kat. K.)
Gawi	
Houlouf	
Kabe	
Kalo	
Nuclear Mser	
Kotoko Septentrional	
Kotoko Septentrional 1	
Afade	Kotoko,Mandagué,Afada,Afadeh,Affade,Mandage,Mogari,Ngala,Afade jezik [hr],Afadeg [br],Affadeh,Affadéh,Affădē,Bornou here is Affadéh,Bornu here is Affadéh,Kotoko-Mandage-Mantage subsumes Afade
Maslam	Kotoko-Maltam,Maltam,Mandage,Mandagué,Mendage,Kotoko-Mandage-Mantage subsumes Maslam
Nuclear Maslam	
Sao	
Kotoko Septentrional 2	
Malgbe	Goulfei,Goulfey,Gulfe,Gulfei,Kotoko-Gulfei,Malbe,Malgwe,Mandage,Ngwalkwe,Sanbalbe,Goulfeil,Kotoko de Goulfei,Kotoko-Mandage-Mantage subsumes Malgbe,Mara
Douguia	Dugiya
Dro	
Goulfey	Goulfei,Gulfe,Gulfei,Kotoko-Gulfei,Malbe,Mandage,Ngwalkwe,Sanbalbe
Mara (Malgbe)	
Nuclear Malgbe	
Walia (Malgbe)	
Mpade	Kotoko-Makari,Mackeri,Makari,Makary,Mandage,Mandague,Mandagué,Mendage,Kotoko-Mandage-Mantage subsumes Mpade,Mackĕri,Schoe
Bodo (Mpade)	
Digam	
Makari	Mpade
Nuclear Mpade	
Shoe	Chaoue,Mani,Schoe,Shawe
Woulki	
Ngala of Lake Chad	Ngala,Nghala,Nghāla,So/Ngala
Lamang-Hdi	
Hdi	Hedi,Xdi,Xedi,Ftour,Hde,Hide,Tourou,Tur,Turu,Turu-Hide,Xadi
Tur	Ftour,Tourou,Turu
Lamang	Waha,Gbuhwe,Hitkala,Laamang,Mandara Group B,Hidkala,Hitkalanci
Central Laamang	
Dlige	
Hedkala	
Waga	
Ghudavan	
North Laamang	
Dzuba	
Gwoza	
Leghva	
Zaladeva	
Zaladva	
Vemgo-Mabas	Mabas,Vemgo-Vizik (Woga),Woga/Vemgo/Vizek/Tur
Vemgo	
Visik	Vizik
Margi-Mandara-Mofu	
Bura-Marghi	
Marghic	
Kilba-South Margi	
Huba	Kilba,Chobba,Hildi,KChobba,Marghi South,Həba,Kilba-Pela
Luwa	
Marghi South	Chobba,Hildi,KChobba,Margi,Hyildi),Margi South,Margi of Lasa,South Margyi (Wandi-Wuba-Hyildi),Wamdiu
Marghi Central	Margi,Marghi,Margi Central,Margi language [en],Central Margi,Gulak,Margi (Molgoy) is Margi of Minthla or Margyi Babal,Margi (Ngurlavu),Margyi
Gulak	Dzerngu
Gwara (Marghi)	
Lassa	Babal
Wurga	
Buraic	
Bura-Pabir	Bura,Babir,Babur,Barburr,Bourrah,Burra,Huve,Huviya,Kwojeffa,Mya Bura,Pabir,Bouraeg-pabireg [br],Bura-pabir [hr]
Hyil Hawul	Bura Hyilhawul,Plain Bura
Pabir	
Pela (Nigeria)	
Cibak	Chibak,Chibbak,Chibbuk,Chibok,Chibuk,Kibbaku,Kikuk,Kyibaku,Cibak jezik [hr],Tchibakeg [br]
Nggwahyi	Ngwaxi,Ngwohi
Putai	Marghi West,West Marg,Poutaieg [br],Putai jezik [hr],West Margi (Margi Pute)
Mandaraic	
Dghwedeic	
Dghwede	Azaghvana,Dehoxde,Dgwede,Hude,Johode,Tghuade,Toghwede,Traude,Truade,Wa'a,Zaghvana,Dghwede jezik [hr],Dgwedeg [br],Dughwede,Zagvana
Gudufic	
Cineni	Cineni jezik [hr],Sinenieg [br],Chinene,Cinene,Nakatsa
Guduf-Gava	Guduf,Gavoko,Gavoko (Guduf),Afkabiye,Gudupe,Kdupe,Gava,Yaghwatadaxa,Yawotataxa-Gava
Chena	
Chikide	Cikide
Gava	Yaghwatadaxa,Yawotataxa
Gvoko	Gavoko,Gevoko,Ghboko,Kuvoko,Nggweshe,Ngoshe Sama,Ngoshe-Ndhang,Ngoshi,Ngossi,Ngweshe,Ngweshe-Ndaghan,Ganda-Ghboko,Gelavda-Ngoshie,Ngoshie
Podoko	
Matal	Badda,Balda,Mouktele,Muktele,Muktile
Parkwa	Podoko,Padoko,Parekwa,Paduko,Gwadi Parekwa,Kudala,Padogo,Padokwa,Pawdawkwa,Podogo,Podokwo,Mukulehe clan of Podokwa
Wandala-Malgwa-Glavda	
Glavda	Galavda,Galvaxdaxa,Gelebda,Gelvaxdaxa,Glanda,Guelebda,Vale,Bokwa,Gelevda Ngoshe
Bokwa	
Ngoshie (Glavda)	
Nuclear Glavda	
Wandala-Malgwa	
Malgwa	Gamergu,Gamĕrgū,Malgwa/Gamergou
Wandala	Malgwa,Gamergu,Mandara,Mandara Montagnard,Ndara,Mora,Wandala of Mora in Cameroon
Gamargu	
Gwanje	
Jampalam	
Kamburwama	
Kirawa	
Masfeima	
Mazagwa	
Mura	
Nuclear Wandala	
Ziogba	
Mofuic	
Meri	
Dugwor	Dougour,Memekere,Mofu,Mofu-Dugwor,Muffo,Muffu,Tchakidjebe
Mikere	
Merey	Mere,Meri,Mofu,Mofu de Meri,Mofu of Meri,Muffo,Muffu
Dugur	
Zulgo-Gemzek	Gemjek,Guemshek,Zulgo,Zoulgwaeg [br],Zulgo-Gemzek jezik [hr],Gadua,Gaduwa,Gemzek,Guemjek,Minéo,Zelgwa,Zoulgo,Zoulgo-Minéo,Zulgwa
Gemzek	Gaduwa,Gemjek
Mineo	Minew
Zulgo	Zelgwa,Zoulgo,Zulgwa
Mofu	
Mofu-Gudur	Mofu-Sud,Mofu (South),Mofu,Mofou,Mofou de Goudour,Mofu South,Muffo,Muffu,Mofou Durum
Dimeo	
Gudur	
Massagal	Massakal
Mokong	
Njeleng	
Zidim	
North Mofu	Douvangar,Mofu,Mofu, North,Mofu-Douvangar,Mofu-Duvangar,Mofu-Nord,Mofu-North,Muffo,Muffu,Mofoueg an norzh [br],Sjeverni mofu jezik [hr]
Douroun	Durum,Mofu de Douroum
Wazan	Wazang
Tokombere	
Mada (Cameroon)	Mada (in Cameroon),Ma'da,Mada (Chadic),Mada,Mada [en],Mada language [en]
Moloko	Melokwo,Mokyo,Molko,Molkoa,Molkwo,Molokwo,Baka
Muyang	Mouyenge,Mouyengue,Muyenge,Myau,Myenge,Mouyang,Mouyeng
Wuzlam	Uldeme,Mizlime,Ouldeme,Udlam,Uzam,Uzlam,Hodogway
Maroua	
Baldemu	Balda,Baldamou,Baldamu,Baldare,Mbazla,Baldemu jezik [hr]
Giziga	
North Giziga	Dogba,Gisiga,Gisika,Giziga,Giziga de Maroua,Giziga, North,Guiziga,Marva,Mi Marva,North and Giziga,South,Tchere,Gisiga-Marua,Giziga from Dogba collected in Koza,Giziga-North,Guiziga du Sud de Maroua,Mostly Dogba-Maroua
Muturuwa	
South Giziga	Gisiga,Gisiga-South,Gisika,Giziga,Giziga, South,Giziga-South,Guiziga,North and Giziga,South,South Gisiga,Gisiga-Mutura,Moutouroua,Muturua
Mi Mijivin	Giziga de Midjivin
Muturami	Giziga de Moutouroua,Loulou,Muturua,Muturwa
Rum	
South Biu-Mandara	
Bataic	Bata-Sharwa
Bacama-Yimburu	Bacama
Bacama	Abacama,Bachama,Bachama-Bata,Bashamma,Besema,Bwareba,Gboare,Bacama jezik [hr],Batchameg [br],Bwaatiye,Bwatiye,Mwulyen
Mulyen	Mulwyin,Mwulyin
Opalo	
Wa-Duku	
Bata	Bata Group,Batta,Bete,Birsa,Biu-Mandara A.8,Demsa Bata,Dii,Dunu,Gboati,Gbwata,Gbwate,Gwate,Kofa,Kota,Muleng,Batta (Ribaw),Batta (other dialect),Batta-Demssa,Batta-Garrua of Barth,Batta-Garua,Baza,Kofa speak the same language as Malabu,Malabu,Northern dialect of Bata,Wadi,Zumu (Jimo)
Demsa	
Garoua (Bata)	
Jirai	
Kobotachi	
Malabu (Bata)	
Ndeewe	Bata-Ndeewe
Ribaw	Ribow
Wadi (Bata)	
Zumu	
Gudeic	
Gude-Jimi-Zizilivakan	
Fali-Gude	
Fali	Fali of Mubi,Fali of Muchella,Group 11,Vimtim,Yimtim,Fali jezik [hr],Falieg [br],Fali Bwagira,Fali Jilbu,Fali Mubi/Yimtin,Fali Mucella
Gude	Cheke,Mapodi,Goude,Mapuda,Mocigin,Motchekin,Mubi,Mudaye,Shede,Tchade,Tcheke,Cheke of Muvi/Mubi,Goudé,Gudé
Fali of Mubi	
Fali of Mucella	
Fali of Vimtim	
Fali of Jilvu	
Jimi (Cameroon)	Djimi,Jimi,Jimjimen,Jimi [en],Jimi language [en],Bi-Gimu
Djimi	
Jimo	
Malabu	
Wadi	
Zumo (Cameroon)	
Zizilivakan	Fali of Jilbu,Ziliva,Ziziliveken,Zizilivakaneg [br],Fali Jilbu,Zhilvu
Nzanyic	
Holma	Bali Holma,Da Holmaci
Nzanyi	Jeng,Jenge,Kobochi,Kobotshi,Mzangyim,Njai,Njanyi,Njegn,Njei,Njeing,Njeng,Njeny,Nzangi,Zani,Zany,Kobotschi,Ndjegn,Njai/Nzangi,Njanye,Zany (Umbutudi)
Dede	
Hoode	
Lovi	
Magara	
Maiha	
Mutidi	
Nggwoli	
Paka	
Rogede	
Sharwa-Tsuvan	Sharwaic
Sharwa	Sarwaye,Sherwin,Tchevi,Slarwa
Tsuvan	Matsuvan,Motsuvan,Tchede,Telaki,Teleki,Terki,Mutsuvan
Gudu	Gombi,Gudo,Gutu,Kumbi Gudu
Kumbi	
Ngwaba	Enguaba,Goba,Gombi,Ngwaba citing BL 1987 A revision of the index of Nigerian languages
Dabaic	
Buwal-Gavar	
Buwal	Bual,Gadala,Ma Buwal
Gavar	Gauar,Gawar,Gouwar,Kortchi,Ma-Gavar,Rtchi
Daba-Mazagway-Kola	
Mazagway	Daba,Mazagway-Hidi,Daba-Mazagway,Gujuguju,Kola,Musugeu (Daba),Sidifi Makdey
Kola (Mazagway)	
Musgoi	
Daba	Dabba,Kola
Nive	
Pologozom	
Mbedam	Cameroon,Mbudum
Mina (Cameroon)	Besleri,Hina,Mina,Mina [en],Mina language [en],Minaeg [br]
Besleri	
Gamdugun	
Jingjing	Dzumdzum
Teraic	
Eastern Tera	
Boga	Boka,Boga jezik [hr],Bogaeg [br],Boga citing NM 1965 fn 4,Gabin-Boga
Ga'anda	Ga'ana,Ga'andu,Ganda,Makwar,Mokar,Gandaeg [br],Ga’anda jezik [hr],Ga-anda,Gabin
Gabin	
Nuclear Ga'anda	
Hwana	Fiterya,Hona,Hwona,Tuftera,C'hwaneg [br],Hwana jezik [hr],Língua hwana [pt],Hwana/Hona,Hwona (Tuftera)
Western Tera	
Jara	Jera,Djaraeg [br],Jara jezik [hr],Jerra (Jara)
